1,Okonomiyaki,Seafood Pancake,4,10,Okonomiyaki.jpg
2,Salmon Okowa,Salmon Glutinous Rice,5,10,SalmonOkowa.png
3,Unagi Sushi,Eel Sushi,4,10,UnagiSushi.png
4,Chawanmushi,Steam Egg,1.5,10,Chawanmushi.jpg
5,Tempura Udon,Fried Shrimp Noodle Soup ,5,10,TempuraUdon.png
6,Sashimi,Raw Seafood,4,10,Sashimi.jpg
7,Yakitori,Skewered Chicken,2,10,Yakitori.png
8,Gyoza,Pan-fried Dumpling,3,10,Gyoza.jpg
9,Matcha (Hot),Green Tea,1.5,10,Matcha.jpg
10,Yuzu Soda (Cold),Citrus Fruit Drink,1.5,10,YuzuSoda.png
